Step,dqn_gnn_noas_ts_100k,dqn_gnn_noas_bounds_ts_100k,dqn_mlp_as_ts_100k,dqn_mlp_noas_nobounds_no_feat_extr_ts_100k,dqn_mlp_noas_nobounds_ts_100k,dqn_mlp_noas_ts_100k,Step_for_mn,dqn_mlp_as_ts_1mn
3168,-39.8365287780762,-39.7936592102051,-39.1334228515625,-39.0422325134277,-39.2159538269043,-38.7227249145508,17088,-36.9951324462891
3264,-39.7092666625977,-39.8575019836426,-39.458553314209,-39.2553443908691,-39.2691345214844,-38.8317756652832,18432,-35.9912719726563
3360,-39.7282485961914,-39.943115234375,-39.4053268432617,-39.4109115600586,-39.2206268310547,-38.6775321960449,18528,-36.0212173461914
3456,-39.6860694885254,-40.1486511230469,-39.2937278747559,-39.3015403747559,-39.0599212646484,-38.1905364990234,19584,-35.7007789611816
3552,-39.5159797668457,-39.996509552002,-39.1618156433106,-39.3392791748047,-38.9209938049316,-37.659366607666,19776,-35.789493560791
3648,-39.2777519226074,-39.803394317627,-39.4717216491699,-39.1212959289551,-38.7683334350586,-37.8631248474121,20544,-36.038688659668
3744,-39.3356742858887,-39.586799621582,-39.4041938781738,-39.1429557800293,-38.7139511108398,-37.7389793395996,22080,-35.9964065551758
3840,-39.3259468078613,-39.2818946838379,-39.235523223877,-39.0646324157715,-38.3586387634277,-37.3938751220703,23520,-35.8371353149414
3936,-39.1409530639648,-39.0728569030762,-39.2413101196289,-38.9808502197266,-38.2131195068359,-37.3400459289551,23616,-35.8573455810547
4128,-39.1804161071777,-38.951847076416,-38.9283676147461,-39.0593452453613,-37.9333877563477,-37.2767753601074,24864,-34.9398078918457
4224,-39.2401733398438,-38.9009437561035,-38.8287773132324,-38.9914283752441,-37.8180313110352,-37.1611633300781,24960,-34.9737319946289
4320,-39.3091850280762,-38.856819152832,-38.3549919128418,-38.9463157653809,-37.7113380432129,-37.1552124023438,26112,-35.3509635925293
4416,-39.2448692321777,-38.7891426086426,-38.3114700317383,-38.8763542175293,-37.5797424316406,-37.0367279052734,26400,-35.1517448425293
4512,-39.2576866149902,-38.799976348877,-38.3828964233398,-38.838264465332,-37.4349937438965,-36.4435386657715,27168,-35.3636589050293
4608,-39.0845069885254,-38.9614410400391,-38.1771469116211,-39.2801513671875,-37.2529296875,-36.9793930053711,27456,-35.3755607604981
4704,-39.2006187438965,-39.0275230407715,-38.3458671569824,-39.4829444885254,-37.4307479858398,-37.1773910522461,27936,-34.5833282470703
4800,-39.1634025573731,-39.2855567932129,-38.7593307495117,-39.3429374694824,-37.1761436462402,-37.4388198852539,28416,-34.0897331237793
4896,-39.0400085449219,-39.1323776245117,-39.063907623291,-39.4236564636231,-37.2007942199707,-37.790283203125,29664,-33.7809867858887
4992,-39.2080459594727,-39.1466445922852,-39.1260681152344,-39.3758392333984,-37.3688354492188,-38.0284004211426,30432,-34.2446670532227
5088,-39.2342071533203,-39.1923637390137,-38.8946914672852,-39.2646217346191,-37.423698425293,-37.8093185424805,30624,-34.2095756530762
5184,-39.1525535583496,-39.069580078125,-38.8340110778809,-39.3565406799316,-37.440860748291,-37.6984977722168,30720,-34.4204254150391
5280,-38.8227119445801,-39.1303405761719,-38.4454307556152,-39.6063041687012,-37.8302955627441,-37.3046112060547,31008,-34.5322570800781
5376,-38.7248992919922,-38.8532447814941,-38.7277793884277,-39.5744743347168,-37.7344017028809,-37.2871932983398,33216,-33.7447776794434
5472,-38.2771034240723,-38.8711547851563,-38.570728302002,-39.6868362426758,-37.9167518615723,-37.4261589050293,33312,-33.9057769775391
5568,-38.1792259216309,-38.8464126586914,-38.2114372253418,-39.7055969238281,-37.7817039489746,-36.9582023620606,34464,-32.9161529541016
5664,-38.3460388183594,-38.660026550293,-37.7574348449707,-40.0335998535156,-37.7352066040039,-36.6891403198242,35040,-33.305850982666
5856,-38.3879508972168,-38.4782447814941,-37.91357421875,-40.8716278076172,-38.6652603149414,-35.9956855773926,35136,-33.5045166015625
5952,-38.4011955261231,-38.6936988830566,-38.4128875732422,-40.7203521728516,-38.217227935791,-35.8735389709473,35232,-33.6373748779297
6048,-38.227954864502,-38.7607841491699,-37.7623901367188,-40.7644500732422,-38.6946182250977,-35.5686645507813,36384,-33.9465179443359
6144,-38.2730979919434,-38.9869804382324,-37.5326347351074,-40.3278388977051,-38.5271110534668,-35.2917938232422,37152,-33.0625762939453
6336,-38.4534149169922,-39.05615234375,-36.4370613098145,-40.0356788635254,-38.6024589538574,-34.9626541137695,37536,-32.4641265869141
6432,-38.3309516906738,-39.1822853088379,-35.939151763916,-40.1006202697754,-38.5404510498047,-34.7978897094727,37728,-32.3752288818359
6528,-38.4369583129883,-39.2660598754883,-35.6194534301758,-40.0149726867676,-38.0678367614746,-35.3729629516602,38208,-32.4794845581055
6624,-38.595645904541,-39.3563423156738,-35.3333511352539,-39.7555351257324,-37.7784652709961,-35.106315612793,38688,-32.3619270324707
6720,-38.816707611084,-39.2275581359863,-35.4852676391602,-39.6129379272461,-37.5297813415527,-34.725227355957,38880,-32.0731353759766
6816,-38.9439544677734,-39.3326606750488,-35.5656585693359,-39.202808380127,-37.56640625,-34.8915977478027,39936,-31.6059513092041
6912,-39.0208129882813,-39.1990356445313,-35.546501159668,-38.895133972168,-37.3433494567871,-35.381706237793,40512,-31.2481956481934
7008,-39.0730285644531,-39.0888595581055,-36.0976371765137,-38.2077903747559,-37.3109359741211,-34.2349815368652,40608,-31.5057983398438
7104,-38.8661460876465,-38.9864082336426,-35.3291244506836,-37.7811698913574,-36.7418174743652,-34.6589965820313,41952,-30.8620681762695
7200,-38.7849731445313,-38.9047813415527,-34.6509475708008,-37.9495582580566,-36.5582466125488,-34.0013008117676,42048,-31.0205249786377
7296,-38.7807846069336,-39.0441398620606,-34.0659065246582,-37.3466453552246,-35.9209861755371,-33.1079444885254,42240,-30.7767791748047
7392,-38.7531585693359,-39.0523071289063,-34.0045852661133,-37.1110496520996,-35.4721870422363,-31.9093437194824,42912,-30.6854000091553
7488,-38.6697540283203,-38.9286689758301,-34.2747306823731,-37.4586753845215,-35.2037582397461,-31.478609085083,43488,-31.114725112915
7584,-38.6335830688477,-38.9586181640625,-34.2011795043945,-37.0561981201172,-34.7508583068848,-31.3116493225098,44352,-31.1235198974609
7680,-38.600959777832,-39.1207809448242,-34.2116813659668,-36.5475730895996,-33.8741493225098,-30.8484153747559,44736,-31.37038230896
7776,-38.5811996459961,-39.2830314636231,-33.2071876525879,-36.8775405883789,-33.8666877746582,-30.3834457397461,45024,-31.9748382568359
7872,-38.6788558959961,-39.2742614746094,-32.9877662658691,-36.5652008056641,-33.8137168884277,-29.6386756896973,45216,-31.467456817627
7968,-38.6567687988281,-39.4032135009766,-33.5646171569824,-36.3556938171387,-33.7421607971191,-29.4155406951904,45600,-31.0450668334961
8064,-38.646785736084,-39.5760307312012,-33.2773284912109,-35.5771980285645,-33.7138938903809,-29.0932483673096,45696,-30.9979496002197
8160,-38.7931251525879,-39.426456451416,-33.3053665161133,-35.4282264709473,-34.1168060302734,-28.9240665435791,46176,-30.1812744140625
8256,-38.7378120422363,-39.6041488647461,-32.8226890563965,-34.8406562805176,-33.6512680053711,-28.4120635986328,46272,-30.1515197753906
8352,-38.6779403686523,-39.4012222290039,-31.89599609375,-34.5783462524414,-33.6073265075684,-27.9676628112793,46848,-30.6628742218018
8448,-38.62255859375,-39.3277168273926,-32.2447166442871,-34.7596702575684,-32.9230842590332,-27.5055332183838,49056,-27.7982749938965
8544,-38.7121810913086,-39.2619094848633,-32.6548652648926,-34.8284873962402,-32.391040802002,-27.5903415679932,49248,-27.8270072937012
8640,-38.6664237976074,-39.3960380554199,-32.3622932434082,-34.9855766296387,-32.2718391418457,-28.0508632659912,49344,-27.8560066223145
8736,-38.8649024963379,-39.6032600402832,-32.1740570068359,-35.6396903991699,-32.4634284973145,-28.0519275665283,49440,-27.7812995910645
8928,-38.9911003112793,-39.4533767700195,-32.2674102783203,-35.872257232666,-31.7701759338379,-27.5174999237061,49728,-27.6298198699951
9024,-39.161994934082,-39.6350288391113,-32.3814239501953,-35.7418251037598,-31.1048851013184,-28.2058486938477,49920,-27.8689632415772
9120,-39.023624420166,-39.5892181396484,-32.016414642334,-35.6702117919922,-31.0451850891113,-27.8503379821777,51264,-28.1542358398438
9216,-38.8744926452637,-39.5546073913574,-31.9434432983398,-36.1042518615723,-30.9522762298584,-27.4590435028076,51360,-28.2396278381348
