Step,dqn_gnn_noas_ts_100k,dqn_gnn_noas_bounds_ts_100k,dqn_mlp_as_ts_100k,dqn_mlp_noas_nobounds_no_feat_extr_ts_100k,dqn_mlp_noas_nobounds_ts_100k,dqn_mlp_noas_ts_100k,Step_for_mn,dqn_mlp_as_ts_1mn,Steps,dqn_gnn_fe_plus_net_arch,dqn_gnn_single_policy,dqn_gnn_fe_load_profile_1,dqn_gnn_sp_load_1
25728,-38.6697502136231,-39.3714256286621,-13.3626127243042,-10.194390296936,-9.5400276184082,-17.8988990783691,153792,-9.33376979827881,70944,-10.4859313964844,-10.3881158828735,-8.64245700836182,-8.52339553833008
25824,-38.6153907775879,-39.4713172912598,-13.5305404663086,-9.93314170837402,-9.19729137420654,-17.8915348052979,153984,-9.47054100036621,71328,-10.4734563827515,-10.4770698547363,-8.50059604644775,-8.4141788482666
25920,-38.698860168457,-39.4097328186035,-13.5254707336426,-10.0133848190308,-9.29219245910645,-17.7415046691895,156288,-9.32098484039307,71520,-10.9936504364014,-10.5127754211426,-8.34159469604492,-8.39784049987793
26016,-38.8890342712402,-39.5164184570313,-13.594069480896,-10.0475463867188,-9.18704509735107,-17.5346698760986,157056,-9.2882661819458,72672,-10.7763204574585,-11.2796630859375,-8.46516227722168,-8.31849098205566
26112,-38.9169731140137,-39.4978828430176,-13.4083204269409,-10.0459394454956,-9.10618400573731,-17.52317237854,157248,-9.32497024536133,72864,-11.0607585906982,-11.1577005386353,-8.59474468231201,-8.32716846466065
26304,-38.8947257995606,-39.2611045837402,-12.9262447357178,-9.6892786026001,-8.98449802398682,-17.3662033081055,157536,-9.12895202636719,73440,-11.6557779312134,-11.4980754852295,-8.70612525939941,-8.49844264984131
26400,-38.7243156433106,-39.2036056518555,-12.844048500061,-9.65571594238281,-9.15197563171387,-16.471471786499,158112,-9.06474494934082,73536,-11.8633670806885,-11.7282552719116,-8.66922473907471,-8.5261344909668
26496,-38.7996482849121,-39.3335647583008,-12.6388158798218,-9.68805885314941,-9.01809215545654,-16.0530624389648,158208,-8.92117404937744,73920,-11.9621114730835,-12.3798112869263,-8.72846508026123,-8.45659828186035
26592,-38.9772148132324,-39.0787391662598,-11.9724216461182,-9.48639869689941,-9.10225009918213,-15.8191661834717,158880,-9.23307991027832,74208,-12.2751626968384,-12.4331188201904,-8.7401876449585,-8.40830707550049
26688,-38.7705917358398,-38.9691543579102,-11.3414850234985,-9.35215377807617,-9.14035034179688,-15.7293148040771,159648,-9.29640197753906,74496,-12.1194047927856,-12.7935619354248,-8.68114566802979,-8.46708202362061
26784,-38.6580123901367,-38.8480110168457,-10.5215492248535,-8.89776420593262,-9.02338218688965,-15.166823387146,160032,-9.25371265411377,74592,-11.917031288147,-12.7220220565796,-8.6500415802002,-8.43736076354981
26880,-38.6972160339356,-39.0964164733887,-10.0597438812256,-8.62091159820557,-8.84251594543457,-14.2171459197998,160416,-9.62908840179443,74784,-11.8363914489746,-12.4243955612183,-8.7662410736084,-8.39939403533936
26976,-38.8442459106445,-39.1615943908691,-10.053804397583,-8.42538166046143,-9.15542125701904,-14.1684789657593,161088,-9.17530536651611,74880,-11.6896467208862,-12.3105459213257,-8.86656093597412,-8.4079179763794
27072,-38.850513458252,-39.114616394043,-9.82365322113037,-7.94965267181397,-9.30441284179688,-13.7067890167236,161280,-8.92861747741699,74976,-11.6143274307251,-12.2316417694092,-8.60078239440918,-8.28603553771973
27168,-39.0698547363281,-39.1191024780273,-10.0747060775757,-7.95587205886841,-9.32403755187988,-13.5171899795532,161856,-8.65616035461426,75072,-11.5448923110962,-12.2445688247681,-8.73569202423096,-8.33162307739258
27264,-39.2878112792969,-39.055477142334,-10.2728538513184,-7.79754447937012,-9.13624572753906,-13.6294374465942,162720,-8.57768726348877,75168,-11.7370624542236,-12.5422115325928,-8.74912452697754,-8.34497547149658
27360,-39.5058288574219,-39.1123313903809,-10.7603435516357,-7.94514036178589,-9.18108081817627,-13.7076940536499,163488,-8.44592475891113,75744,-11.2789793014526,-12.3307552337646,-8.72429752349854,-8.3831958770752
27456,-39.6728248596191,-39.2904052734375,-10.8714151382446,-8.00240612030029,-9.20617294311523,-13.8751907348633,163680,-8.77728366851807,77280,-10.6681966781616,-11.8804082870483,-8.81644248962402,-8.37697792053223
27552,-39.7096862792969,-39.0746726989746,-10.4972124099731,-8.22842407226563,-9.07901191711426,-14.094313621521,163968,-8.55875873565674,77376,-10.5806398391724,-12.0367441177368,-9.50038433074951,-8.31264305114746
27648,-39.6710243225098,-39.0344924926758,-10.3184967041016,-8.00576972961426,-8.82029533386231,-13.6431188583374,164256,-8.61476898193359,77472,-10.545111656189,-12.0947465896606,-9.64610958099365,-8.2407808303833
27744,-39.6237602233887,-38.9774208068848,-11.0872611999512,-8.00791263580322,-8.91930198669434,-13.3758668899536,164352,-8.77093696594238,77568,-10.4896621704102,-11.7503671646118,-9.69347953796387,-8.17861557006836
27840,-39.5258560180664,-38.7002029418945,-11.1818933486938,-7.82689905166626,-8.96807670593262,-13.6642293930054,165024,-8.84369850158691,77856,-9.77496242523193,-11.4745254516602,-9.71340274810791,-8.25897121429443
27936,-39.4880142211914,-38.9514617919922,-11.1280508041382,-7.78000211715698,-8.91621208190918,-13.7973728179932,165504,-8.68308353424072,78624,-9.52275943756104,-12.4878787994385,-9.64820384979248,-8.17053699493408
28032,-39.6732025146484,-38.9943084716797,-11.410192489624,-7.6771445274353,-8.94974613189697,-12.8194952011108,166176,-8.52386856079102,78720,-9.75824737548828,-12.3781509399414,-9.7598295211792,-8.21156024932861
28128,-39.7244911193848,-39.203784942627,-11.3481216430664,-7.67255926132202,-9.05084991455078,-11.1654500961304,167040,-8.28738498687744,79584,-9.26062870025635,-12.553750038147,-9.59172344207764,-8.18795394897461
28224,-39.9808807373047,-39.1751174926758,-11.4897270202637,-7.65115547180176,-9.05337810516357,-11.1467847824097,167424,-8.32083415985107,79968,-9.25161933898926,-12.0349369049072,-9.49759578704834,-8.20493030548096
28320,-40.1277008056641,-39.2268524169922,-11.5176858901978,-7.50823307037354,-9.10005950927734,-11.2582607269287,167616,-8.48688507080078,80064,-9.35391330718994,-12.0217657089233,-9.6963005065918,-8.14900779724121
28416,-40.2610664367676,-39.2646636962891,-11.4731903076172,-7.47062110900879,-9.2697811126709,-11.2914915084839,168480,-8.14144039154053,80256,-9.60563945770264,-12.3261632919312,-9.6048059463501,-8.26204681396484
28512,-40.1020965576172,-39.2347259521484,-11.34974193573,-7.34931659698486,-9.24242687225342,-11.5380439758301,169536,-8.15660572052002,80352,-9.61610317230225,-12.5863361358643,-9.89628601074219,-8.38393020629883
28608,-40.1092414855957,-39.2055053710938,-11.3402299880981,-7.39482927322388,-9.23648643493652,-11.7737627029419,170496,-7.79831457138062,80640,-10.0795164108276,-12.4521865844727,-9.81191539764404,-8.33891010284424
28704,-40.016300201416,-39.151496887207,-11.3982009887695,-7.4740571975708,-9.17014026641846,-11.7448606491089,170688,-7.92612075805664,80736,-10.2275409698486,-12.2492980957031,-9.83273792266846,-8.29033946990967
28800,-40.232364654541,-39.120719909668,-11.0345001220703,-7.38955688476563,-9.05380916595459,-11.1931600570679,171360,-7.63544082641602,81024,-11.3153648376465,-11.1944313049316,-9.82151985168457,-8.10721206665039
28896,-40.146110534668,-39.0724792480469,-10.8137111663818,-7.39838075637817,-8.94490718841553,-11.3195142745972,171840,-7.75743436813355,81216,-11.0306463241577,-11.2978057861328,-9.79114437103272,-8.24600315093994
28992,-39.983211517334,-39.4382400512695,-10.8938722610474,-7.43328380584717,-8.93382167816162,-11.4036283493042,172128,-7.7641749382019,81696,-11.6763906478882,-11.6482496261597,-9.87671279907227,-8.33738327026367
29088,-40.0762596130371,-39.5944519042969,-11.2613554000855,-7.43172168731689,-8.94563579559326,-11.4187879562378,172896,-7.90608310699463,81792,-11.7925157546997,-11.3957462310791,-9.8291072845459,-8.14261245727539
29184,-39.9329032897949,-39.959888458252,-11.0975093841553,-7.41218137741089,-8.88469886779785,-11.7402257919312,174720,-8.86057853698731,82368,-12.3351573944092,-11.4509410858154,-9.9378776550293,-8.04563140869141
29280,-39.7923164367676,-39.994514465332,-11.1059455871582,-7.48584794998169,-8.84185123443604,-11.828875541687,175776,-8.36548519134522,82656,-12.7841062545776,-11.7024202346802,-9.91814231872559,-8.12006378173828
29376,-39.4586868286133,-40.0062980651856,-11.3306999206543,-7.55419635772705,-8.5855073928833,-11.8128213882446,177408,-8.92275714874268,82848,-12.806206703186,-11.2527923583984,-9.71853828430176,-8.2012882232666
29472,-39.4182777404785,-39.9990882873535,-11.2497634887695,-7.51319932937622,-8.75845050811768,-11.7004833221436,177792,-9.08984279632568,83136,-12.7314853668213,-11.0077981948853,-9.7053918838501,-8.34839725494385
29568,-39.1844673156738,-39.7394638061523,-11.0593643188477,-7.51048707962036,-8.91005420684815,-11.629397392273,178656,-9.23776721954346,83232,-12.6704053878784,-10.9724235534668,-9.50667095184326,-8.27705764770508
29664,-39.0626602172852,-39.8869171142578,-11.1589879989624,-7.57937145233154,-9.06172561645508,-11.3005828857422,179136,-8.80359554290772,83616,-11.7183208465576,-11.1549501419067,-9.51591682434082,-8.38148880004883
29760,-38.7916984558106,-40.0242958068848,-10.7465744018555,-7.50190210342407,-9.19251918792725,-11.2042760848999,179232,-8.80042171478272,83712,-11.6867065429688,-11.1545696258545,-9.52316379547119,-8.40104389190674
29856,-38.6703033447266,-39.8020629882813,-10.5800514221191,-7.46341371536255,-9.21801280975342,-11.0284824371338,179328,-8.78030586242676,84960,-10.8348388671875,-10.5449419021606,-9.41617107391357,-8.46877861022949
29952,-38.588996887207,-39.9150085449219,-10.5757217407227,-7.34587955474854,-9.38004684448242,-10.8958168029785,181344,-9.39704132080078,85152,-11.0094404220581,-10.5642614364624,-8.68119335174561,-8.43924808502197
30048,-38.5842933654785,-39.9026679992676,-10.5377588272095,-7.44979524612427,-9.66104888916016,-10.9548721313477,182400,-9.43226909637451,85536,-11.1561985015869,-10.7491312026978,-8.78574752807617,-8.57024097442627
30144,-38.646484375,-39.894287109375,-9.90308284759522,-7.70035028457642,-9.63073062896729,-10.3361444473267,182688,-9.3532247543335,85728,-11.0052251815796,-10.9099006652832,-8.78568172454834,-8.56698513031006
30240,-38.5578994750977,-39.9573478698731,-10.2072496414185,-8.43148899078369,-9.8263521194458,-10.2490015029907,183264,-9.13732528686523,86016,-11.8822174072266,-10.9594459533691,-9.3229284286499,-8.42979621887207
30336,-38.5549201965332,-39.9252166748047,-10.6270456314087,-9.45693969726563,-10.1547622680664,-10.9965038299561,183360,-9.14100360870361,86208,-12.1058378219605,-10.913254737854,-9.86100482940674,-8.46432113647461
30432,-38.5099754333496,-39.9695549011231,-11.1026630401611,-10.1319303512573,-10.741738319397,-11.0812368392944,183744,-9.42678356170654,86304,-11.9025926589966,-10.8220510482788,-10.1923952102661,-8.55323219299316
30528,-38.4972648620606,-39.7924766540527,-11.8237934112549,-10.8314180374146,-11.3721561431885,-11.2724838256836,184224,-9.32940101623535,86592,-11.8709688186646,-10.6220560073853,-10.4159727096558,-8.53769207000732
30624,-38.3038558959961,-39.7893791198731,-12.2131118774414,-11.1916799545288,-11.9741277694702,-11.6019229888916,184800,-9.17520236968994,86688,-11.8260536193848,-10.7092418670654,-10.9124708175659,-8.64567565917969
30720,-38.2640571594238,-39.6998443603516,-12.5262231826782,-12.2804727554321,-12.1726493835449,-11.9296646118164,184896,-8.92592239379883,87168,-11.9740400314331,-11.3091154098511,-11.0803413391113,-8.98595714569092
30816,-38.078296661377,-39.6638374328613,-13.2370300292969,-12.8430805206299,-12.7470760345459,-12.7380456924438,185952,-8.3720817565918,87264,-12.6152019500732,-11.2695388793945,-11.3778944015503,-9.0615930557251
30912,-38.2825698852539,-39.7321166992188,-13.6239633560181,-13.7585020065308,-13.2041521072388,-12.6027936935425,186336,-8.08237648010254,87456,-12.4934663772583,-11.3699836730957,-10.9917917251587,-9.34192752838135
31008,-38.1077499389648,-39.9732666015625,-13.7968196868896,-14.3798141479492,-13.5271768569946,-12.4409151077271,186432,-8.1350679397583,87552,-12.2286424636841,-11.2610425949097,-11.0238676071167,-9.45034790039063
31104,-38.1993675231934,-39.9822273254395,-13.7956781387329,-15.2114238739014,-13.9465808868408,-12.5200977325439,186816,-8.72179985046387,88224,-12.4130363464355,-11.003809928894,-11.089882850647,-9.54563426971436
31200,-38.1823348999023,-40.1255836486816,-14.0345363616943,-15.711688041687,-14.7440586090088,-12.40221118927,187008,-8.83943748474121,88320,-12.3111867904663,-10.9828214645386,-11.3480100631714,-9.70986461639404
31296,-38.3924331665039,-40.1009407043457,-14.8238611221313,-16.0828990936279,-15.2700109481812,-12.7699975967407,187872,-8.5292444229126,88512,-12.6519918441772,-10.6343126296997,-11.6358633041382,-9.82083415985107
31392,-38.2699546813965,-40.0121955871582,-15.0524978637695,-17.2107257843018,-15.3283271789551,-13.0681343078613,188256,-8.46973419189453,89184,-12.0596294403076,-11.0135526657105,-12.1043796539307,-9.89859008789063
31488,-38.2760696411133,-40.0795860290527,-14.8831081390381,-17.6942977905273,-15.4989223480225,-13.3616781234741,188352,-8.44301319122315,89376,-11.8590650558472,-11.0542259216309,-12.4769735336304,-10.1077947616577
31584,-38.5100517272949,-39.968692779541,-15.2337789535522,-17.888692855835,-15.9217090606689,-13.8372211456299,188544,-8.64242267608643,89472,-11.7671537399292,-10.4121370315552,-12.6670036315918,-10.4085760116577
31680,-38.6547012329102,-39.9487953186035,-15.1293859481812,-18.0079326629639,-16.3200511932373,-14.0931234359741,188640,-8.74520015716553,89568,-11.8729124069214,-10.4996004104614,-12.8928203582764,-10.5485944747925
31776,-38.8560600280762,-39.9689712524414,-14.9670181274414,-18.0566329956055,-16.76540184021,-14.297251701355,188832,-8.88451862335205,90240,-12.1406965255737,-10.4287891387939,-13.1157932281494,-10.6921119689941
31872,-38.7237167358398,-40.2934494018555,-15.3516759872437,-18.2683906555176,-17.2245903015137,-14.5610618591309,189888,-8.60051441192627,90528,-11.7547063827515,-11.2764282226563,-13.1636524200439,-10.7255220413208
31968,-38.760368347168,-40.628360748291,-15.6662931442261,-18.4155941009522,-17.5632457733154,-15.2351846694946,190080,-8.61696529388428,90816,-11.0198888778687,-11.8151636123657,-13.492395401001,-10.7420873641968
32064,-38.7953910827637,-40.4798088073731,-15.6936225891113,-18.4106407165527,-17.6268005371094,-15.4981069564819,190848,-8.99237442016602,91200,-11.4986333847046,-11.640962600708,-13.8967304229736,-10.7627334594727
32160,-39.1203956604004,-40.3623962402344,-16.0404949188232,-18.4635906219482,-17.7122840881348,-16.4753952026367,190944,-8.93767261505127,91488,-11.8936862945557,-11.7503633499146,-13.8053646087646,-10.7579641342163
32256,-39.2823486328125,-40.3745536804199,-16.2534523010254,-18.3831119537354,-18.0624370574951,-16.7717876434326,191232,-8.97418785095215,91776,-12.019775390625,-11.7959613800049,-14.0441370010376,-10.6971187591553
32352,-39.2674140930176,-40.3224906921387,-16.9548721313477,-18.6226863861084,-18.0013961791992,-16.971887588501,194592,-8.55379009246826,92256,-11.0629072189331,-11.4681196212769,-14.1252088546753,-10.7253761291504
32448,-39.3033599853516,-40.4388771057129,-17.0872497558594,-18.698766708374,-17.8646049499512,-17.2593631744385,196608,-9.47514915466309,92544,-10.9779167175293,-11.9502239227295,-13.9439973831177,-10.7082471847534
32544,-39.1297225952148,-40.4151191711426,-16.7957344055176,-18.4644298553467,-17.9517421722412,-17.5660171508789,197376,-9.66661739349365,92736,-11.3833656311035,-11.8088445663452,-13.7936735153198,-10.8836355209351
32736,-39.5346527099609,-40.2541809082031,-16.0857486724854,-16.7843761444092,-17.8070430755615,-16.8444843292236,198528,-9.73352813720703,92928,-12.5772666931152,-11.4433784484863,-12.8439836502075,-10.8634395599365
32832,-39.5873413085938,-40.3239288330078,-15.4853563308716,-16.534761428833,-17.2726631164551,-16.3608474731445,198816,-9.46848201751709,93024,-12.6283092498779,-11.4837989807129,-13.5459547042847,-11.1542615890503
32928,-39.4565467834473,-40.3117828369141,-15.1742448806763,-15.8532047271729,-16.6100902557373,-16.0981178283691,199680,-8.26693725585938,93984,-12.2202568054199,-11.2657270431519,-14.4515810012817,-11.2190980911255
33024,-39.5951881408691,-40.1745758056641,-14.7249927520752,-15.5642824172974,-16.1234302520752,-15.8978700637817,200640,-8.57343578338623,94080,-12.2076139450073,-11.1553764343262,-14.2495050430298,-11.1737766265869
33120,-39.5254402160645,-40.3521957397461,-14.516655921936,-14.601261138916,-15.9892053604126,-15.4601850509644,201408,-8.26330471038818,94368,-12.1605815887451,-11.2827425003052,-13.9647636413574,-10.9408473968506
33216,-39.3534240722656,-40.272216796875,-14.4297046661377,-14.0401802062988,-16.1961898803711,-14.5992403030396,201696,-8.41755676269531,94752,-12.2312469482422,-11.0822868347168,-14.1246128082275,-10.7308368682861
33312,-39.3183746337891,-40.2453536987305,-14.6898307800293,-13.2661771774292,-15.8662815093994,-15.1425495147705,201984,-8.29022693634033,95136,-11.5714864730835,-10.8714351654053,-14.11448097229,-10.5072603225708
33408,-39.2328643798828,-40.1000823974609,-14.6041297912598,-12.8628349304199,-15.5297994613647,-15.319037437439,202560,-8.53396606445313,95328,-10.4824361801147,-10.8857107162476,-14.7523593902588,-10.4361848831177
33504,-39.4342651367188,-40.0192222595215,-14.7829551696777,-12.7954044342041,-15.3175964355469,-15.1631164550781,203040,-8.65263748168945,95520,-10.288703918457,-10.5911827087402,-15.0990896224976,-10.2827110290527
33600,-39.405029296875,-39.8347511291504,-14.6441507339478,-12.4636058807373,-14.612753868103,-15.0456895828247,203136,-8.65485286712647,95712,-10.1795740127563,-10.67955493927,-14.8352651596069,-10.2199602127075
33696,-39.1567268371582,-39.707447052002,-14.3553485870361,-11.9885063171387,-14.1250343322754,-14.6296310424805,203520,-9.01393032073975,95904,-10.0650148391724,-10.6865205764771,-14.6586093902588,-10.0517997741699
33792,-39.0536918640137,-39.7461853027344,-14.3125295639038,-10.8982973098755,-14.1312847137451,-14.2449741363525,203616,-9.09075927734375,96000,-9.76166152954102,-10.6023864746094,-14.031307220459,-9.95748424530029
33888,-39.1875076293945,-39.6871757507324,-14.0720767974854,-10.43101978302,-14.0913124084473,-14.2241010665894,204288,-9.22124576568604,96288,-9.6561336517334,-10.2286891937256,-13.749493598938,-9.92989635467529
33984,-39.2097358703613,-39.3769035339356,-14.0104761123657,-10.3536033630371,-13.7326908111572,-13.8487310409546,205440,-8.9219388961792,96384,-9.50171566009522,-10.3061685562134,-13.5630464553833,-9.67128562927246
34080,-39.0823669433594,-39.2703819274902,-14.2883348464966,-10.5843629837036,-13.2158184051514,-13.567253112793,207360,-8.93555164337158,96480,-9.42638111114502,-10.3755111694336,-13.6006240844727,-9.59605407714844
34176,-39.1386070251465,-39.4016036987305,-14.6456518173218,-10.6965970993042,-12.6899604797363,-13.4710445404053,208320,-8.31203365325928,96672,-9.62470149993897,-10.7549314498901,-13.8428726196289,-9.48354911804199
34272,-39.0431594848633,-39.0220680236816,-14.6146259307861,-10.565824508667,-12.0807323455811,-13.3933811187744,210048,-8.10609817504883,97152,-10.3183441162109,-10.9576959609985,-14.1439523696899,-9.32911586761475
34368,-39.1682319641113,-38.5442161560059,-15.288369178772,-10.7339534759521,-11.6508703231812,-12.745906829834,210720,-8.46995830535889,97344,-10.2602224349976,-11.3668079376221,-14.2110462188721,-9.48062324523926
34464,-39.2350730895996,-38.5520706176758,-15.449746131897,-10.7150707244873,-11.5210208892822,-12.5254354476929,211392,-8.58777046203613,97536,-9.84875679016113,-11.4062957763672,-13.9404392242432,-9.38755512237549
34560,-39.2451133728027,-38.5057563781738,-15.3142547607422,-10.5561151504517,-11.3254671096802,-11.8607978820801,212160,-8.33265781402588,98208,-10.1331768035889,-10.8517169952393,-14.5382471084595,-9.34300899505615
34656,-39.0522727966309,-38.5682373046875,-15.3216352462769,-10.5661277770996,-11.1193017959595,-11.7682056427002,212352,-8.22047233581543,98592,-10.1166000366211,-10.9109792709351,-14.5828304290771,-9.25110149383545
34752,-38.9245567321777,-38.661060333252,-15.1120872497559,-10.3993310928345,-11.1779470443726,-11.5113286972046,212736,-8.03574657440186,98784,-10.8590364456177,-10.6456737518311,-14.5221481323242,-9.19159030914307
34848,-38.9046478271484,-38.4881782531738,-15.3987197875977,-10.3467388153076,-11.1640481948853,-11.2423639297485,213312,-8.1497802734375,99456,-10.7347106933594,-10.7504892349243,-14.7169637680054,-9.14273643493652
34944,-38.9566688537598,-38.7927169799805,-15.592921257019,-10.2469921112061,-11.090033531189,-11.0061502456665,213696,-8.27309608459473,99552,-10.6674690246582,-10.8697938919067,-15.509690284729,-8.96074199676514
35040,-39.2884407043457,-38.8594360351563,-15.5525064468384,-10.4001340866089,-10.9009342193604,-10.9219789505005,214752,-7.86291742324829,99648,-10.7437047958374,-11.0121126174927,-15.7518510818481,-8.99142646789551
35136,-39.016471862793,-38.8115081787109,-15.5153942108154,-10.4212093353271,-10.5686902999878,-11.2449016571045,215040,-7.91929006576538,99744,-10.7545175552368,-10.5790243148804,-15.7413234710693,-9.173996925354
35232,-39.2168273925781,-38.4719924926758,-15.9373540878296,-9.9684476852417,-10.5089044570923,-11.145115852356,215520,-7.93509578704834,99840,-10.8975257873535,-10.5685548782349,-14.9848213195801,-8.92457008361816
35328,-39.3230781555176,-38.4132690429688,-15.4991064071655,-10.1464061737061,-10.4134016036987,-11.0729131698608,216768,-8.24223613739014,100224,-11.1679487228394,-10.5819931030273,-13.8561716079712,-9.09473705291748
35424,-39.2423553466797,-38.4123497009277,-15.7770528793335,-10.2660112380981,-10.3490056991577,-11.2850389480591,219072,-8.12930679321289,100512,-11.0937662124634,-11.0173349380493,-13.6865797042847,-9.01255512237549
35520,-39.3228340148926,-38.2935676574707,-16.0943584442139,-10.3866348266602,-10.1942319869995,-11.4175338745117,221376,-7.8660831451416,101472,-11.1784906387329,-11.7103385925293,-13.5639162063599,-9.05858993530273
35616,-39.4287490844727,-38.3176803588867,-15.8938436508179,-10.2775573730469,-9.34317684173584,-11.5913228988647,221472,-7.76844835281372,101664,-11.1167049407959,-11.1810398101807,-13.0753545761108,-9.13452339172363
35808,-39.4718132019043,-38.4905853271484,-15.5617609024048,-9.94342708587647,-9.00908374786377,-12.4312705993652,222432,-7.88793182373047,101856,-10.9465656280518,-11.1090488433838,-12.741753578186,-9.06517696380615
35904,-39.419002532959,-38.500602722168,-15.4529056549072,-9.15502548217773,-8.85992527008057,-13.2450485229492,222720,-8.01362133026123,102048,-10.8449487686157,-11.2557964324951,-12.6880836486816,-9.12065887451172
36000,-39.3890037536621,-38.491512298584,-15.454140663147,-9.0319299697876,-8.77088928222656,-13.129207611084,223200,-7.6171088218689,102336,-10.6463537216187,-10.970911026001,-13.2450180053711,-9.14560413360596
36096,-39.5122566223145,-38.6229629516602,-14.9709854125977,-9.10188388824463,-8.77449607849121,-13.125696182251,223968,-7.6937780380249,102528,-10.6228923797607,-11.266303062439,-13.351318359375,-9.06341171264648
36192,-39.5452613830566,-38.4704704284668,-14.8218507766724,-9.1521635055542,-8.72248458862305,-14.0275030136108,224928,-7.71446943283081,102720,-11.0504179000855,-11.0458869934082,-13.6039752960205,-9.18435859680176
36288,-39.7352523803711,-38.4595794677734,-15.5282125473022,-9.27266025543213,-8.58304500579834,-14.184175491333,225888,-7.97247838973999,102816,-11.2612686157227,-10.7323331832886,-13.7738380432129,-9.07754039764404
36384,-39.6883239746094,-38.7364959716797,-15.5240879058838,-9.33372020721436,-8.4692440032959,-13.8361148834229,226560,-7.86005783081055,102912,-11.393214225769,-11.1521949768066,-13.8810195922852,-9.12857437133789
36480,-39.7146415710449,-38.8706474304199,-15.202018737793,-9.07261848449707,-8.55146503448486,-14.0193128585815,229440,-8.19549560546875,103008,-11.4358959197998,-11.1366567611694,-14.0139112472534,-9.10161876678467
36576,-39.6475830078125,-38.5879669189453,-14.7726001739502,-9.00781345367432,-8.45693874359131,-13.9113388061523,229824,-8.33702278137207,103104,-11.6565790176392,-11.1976222991943,-13.8509826660156,-9.05021667480469
36672,-39.5376510620117,-38.5571708679199,-14.5187139511108,-9.28413105010986,-8.27552032470703,-13.8165740966797,229920,-8.39301872253418,103488,-11.9185991287231,-11.4809331893921,-13.7379426956177,-9.08910369873047
36768,-39.8054275512695,-38.9737243652344,-13.4911603927612,-9.1063175201416,-8.34567546844482,-13.8295612335205,230304,-8.50987434387207,103776,-11.4878168106079,-11.6364669799805,-13.6255178451538,-9.11343765258789
36864,-39.8150901794434,-38.9521064758301,-13.1057262420654,-9.23915004730225,-8.25742816925049,-14.1485471725464,233184,-8.32400894165039,104256,-11.5029239654541,-11.8403558731079,-13.5557708740234,-9.15875625610352
36960,-39.614933013916,-38.8885612487793,-12.7713289260864,-9.37711429595947,-8.28093433380127,-13.8970623016357,233472,-8.26579570770264,104352,-11.4814167022705,-12.3383722305298,-12.8724708557129,-9.15971946716309
37056,-39.6133995056152,-38.7921905517578,-12.6869125366211,-9.47461032867432,-8.03770637512207,-13.9034900665283,233856,-8.28851890563965,104448,-11.7510986328125,-11.9860649108887,-12.7656993865967,-9.19740295410156
37152,-39.7038307189941,-38.8056030273438,-12.2483911514282,-9.40672779083252,-7.84010028839111,-14.529953956604,233952,-8.30224704742432,104832,-12.3844013214111,-12.1651706695557,-13.0547428131104,-9.47930526733398
37248,-39.5786437988281,-38.7937088012695,-11.8768005371094,-9.29820728302002,-7.78633594512939,-14.4724760055542,234432,-8.53333568572998,105504,-11.5272741317749,-11.3978061676025,-12.8560419082642,-9.55843734741211
37344,-39.7848701477051,-38.5649948120117,-11.7561311721802,-9.39365100860596,-7.82840919494629,-14.5339546203613,235680,-8.31379127502441,105696,-11.3962116241455,-11.392822265625,-12.2336235046387,-9.55762767791748
37440,-39.6803321838379,-38.6688003540039,-11.8138551712036,-9.29799747467041,-7.86792230606079,-14.8722763061523,236448,-8.03785610198975,105888,-11.2234735488892,-11.1225099563599,-11.9615840911865,-9.63941383361816
37536,-39.6526374816895,-38.6728248596191,-11.687668800354,-9.24341106414795,-7.95697927474976,-14.3716983795166,236736,-8.12028026580811,105984,-11.2058076858521,-11.0304861068726,-12.0318899154663,-9.70073699951172
37632,-39.7346725463867,-38.9204521179199,-11.0680379867554,-9.26364135742188,-7.85458993911743,-14.2904758453369,238656,-8.41281986236572,106080,-11.48424243927,-10.7059526443481,-11.7236995697021,-9.65338611602783
37728,-39.4772338867188,-38.9103927612305,-11.1396865844727,-9.04245185852051,-7.8138861656189,-14.5944938659668,239424,-8.28913593292236,106368,-11.3813705444336,-10.2623300552368,-11.9064931869507,-9.54858112335205
37824,-39.5394821166992,-39.03466796875,-10.8917465209961,-8.92610740661621,-7.74867534637451,-14.4210748672485,239904,-8.49720859527588,106560,-11.5549631118774,-10.4951295852661,-11.8417291641235,-9.56100368499756
37920,-39.4295768737793,-39.2096061706543,-10.639705657959,-8.90586566925049,-7.7217960357666,-14.3778314590454,240096,-8.28501224517822,106752,-11.4958009719849,-10.2050876617432,-11.9728298187256,-9.4819860458374
38016,-39.6209220886231,-39.2031021118164,-10.3038358688355,-9.2804012298584,-7.8208327293396,-14.3414783477783,240384,-8.66836452484131,106848,-11.2916784286499,-10.3792581558228,-12.0458192825317,-9.46079349517822
38112,-39.7016525268555,-39.0850677490234,-10.2084369659424,-9.24678802490234,-7.9116702079773,-13.7604570388794,240576,-8.60633182525635,107040,-10.9302577972412,-10.8944721221924,-11.8236484527588,-9.50290870666504
38208,-39.6446113586426,-39.0407600402832,-9.80382061004639,-9.31341648101807,-8.02171611785889,-12.6963024139404,240672,-8.56080341339111,107520,-10.660548210144,-10.6148529052734,-11.6724758148193,-9.41330623626709
