Step,dqn_gnn_noas_ts_100k,dqn_gnn_noas_bounds_ts_100k,dqn_mlp_as_ts_100k,dqn_mlp_noas_nobounds_no_feat_extr_ts_100k,dqn_mlp_noas_nobounds_ts_100k,dqn_mlp_noas_ts_100k,Step_for_mn,dqn_mlp_as_ts_1mn,Steps,dqn_gnn_fe_plus_net_arch,dqn_gnn_single_policy,dqn_gnn_fe_load_profile_1,dqn_gnn_sp_load_1
2880,-39.7413520812988,-39.3065719604492,-38.7039108276367,-38.951717376709,-40.1680450439453,-38.6893272399902,15648,-37.6037063598633,6816,-38.6846656799316,-39.1763114929199,-39.575813293457,-39.5498847961426
2976,-40.0613975524902,-39.6450080871582,-38.7924003601074,-38.8119316101074,-39.8543510437012,-38.6464500427246,15840,-37.2957344055176,6912,-38.5409164428711,-39.1937026977539,-39.20849609375,-39.716926574707
3072,-39.9385948181152,-39.7466087341309,-39.0327453613281,-38.9001235961914,-39.585075378418,-38.5238761901856,16608,-37.0172729492188,7488,-37.5967788696289,-38.3506317138672,-39.1571884155273,-39.7649421691895
3168,-39.8365287780762,-39.7936592102051,-39.1334228515625,-39.0422325134277,-39.2159538269043,-38.7227249145508,17088,-36.9951324462891,7680,-37.1681137084961,-37.8436431884766,-39.005012512207,-39.6286010742188
3264,-39.7092666625977,-39.8575019836426,-39.458553314209,-39.2553443908691,-39.2691345214844,-38.8317756652832,18432,-35.9912719726563,7968,-37.1902046203613,-37.9681625366211,-39.3465270996094,-39.7938041687012
3360,-39.7282485961914,-39.943115234375,-39.4053268432617,-39.4109115600586,-39.2206268310547,-38.6775321960449,18528,-36.0212173461914,8640,-36.7254142761231,-37.852668762207,-39.3095474243164,-40.0232963562012
3456,-39.6860694885254,-40.1486511230469,-39.2937278747559,-39.3015403747559,-39.0599212646484,-38.1905364990234,19584,-35.7007789611816,9600,-37.8276710510254,-36.8452224731445,-39.3626251220703,-39.8883361816406
3552,-39.5159797668457,-39.996509552002,-39.1618156433106,-39.3392791748047,-38.9209938049316,-37.659366607666,19776,-35.789493560791,9984,-38.3568077087402,-36.6681900024414,-39.2369232177734,-39.6312942504883
3648,-39.2777519226074,-39.803394317627,-39.4717216491699,-39.1212959289551,-38.7683334350586,-37.8631248474121,20544,-36.038688659668,10272,-38.2216339111328,-36.7646141052246,-39.2853813171387,-39.4884300231934
3744,-39.3356742858887,-39.586799621582,-39.4041938781738,-39.1429557800293,-38.7139511108398,-37.7389793395996,22080,-35.9964065551758,10368,-37.9666023254395,-36.4120903015137,-39.2339630126953,-39.4007987976074
3840,-39.3259468078613,-39.2818946838379,-39.235523223877,-39.0646324157715,-38.3586387634277,-37.3938751220703,23520,-35.8371353149414,10560,-37.193473815918,-36.4498100280762,-39.6386108398438,-39.2634544372559
3936,-39.1409530639648,-39.0728569030762,-39.2413101196289,-38.9808502197266,-38.2131195068359,-37.3400459289551,23616,-35.8573455810547,11232,-35.1297492980957,-36.8866004943848,-39.2946357727051,-39.3110427856445
4128,-39.1804161071777,-38.951847076416,-38.9283676147461,-39.0593452453613,-37.9333877563477,-37.2767753601074,24864,-34.9398078918457,11712,-32.9082260131836,-36.2491455078125,-39.0282516479492,-39.1113739013672
4224,-39.2401733398438,-38.9009437561035,-38.8287773132324,-38.9914283752441,-37.8180313110352,-37.1611633300781,24960,-34.9737319946289,12096,-31.7921276092529,-35.0971488952637,-38.7705879211426,-39.0166282653809
