Wall time,Step,Value
1732930939.3022285,76416,-13.151067733764648
1732930945.4243786,76704,-12.81387996673584
1732930949.385607,76896,-12.571517944335938
1732930953.1386614,77088,-12.460945129394531
1732930958.956981,77376,-12.041504859924316
1732930962.8662035,77568,-12.17805004119873
1732930964.7648187,77664,-11.773078918457031
1732930966.625119,77760,-11.793550491333008
1732930978.5776927,78336,-12.17306900024414
1732930980.6709824,78432,-12.245318412780762
1732930984.9579775,78624,-11.856335639953613
1732930991.4029348,78912,-12.10567569732666
1732931000.4678907,79296,-12.283459663391113
1732931006.8480713,79584,-12.158185005187988
1732931013.281146,79872,-12.281213760375977
1732931015.1959949,79968,-12.209461212158203
1732931019.596381,80160,-12.047233581542969
1732931023.8828182,80352,-11.9772310256958
1732931028.3147113,80544,-11.163337707519531
1732931038.9918177,81024,-10.45873737335205
1732931045.136479,81312,-10.309223175048828
1732931048.7332273,81504,-10.052082061767578
1732931080.790441,82944,-11.478633880615234
1732931089.6198957,83328,-11.829960823059082
1732931093.7081254,83520,-11.592693328857422
1732931095.974758,83616,-12.167802810668945
1732931105.0903835,84000,-13.060711860656738
1732931109.2810857,84192,-13.526299476623535
1732931117.820061,84576,-13.788273811340332
1732931122.18122,84768,-13.693002700805664
1732931126.17472,84960,-13.79403018951416
1732931132.1970646,85248,-14.54591178894043
1732931136.5549722,85440,-14.103833198547363
1732931138.9641595,85536,-14.48419189453125
1732931143.4799988,85728,-14.790359497070312
1732931152.1659653,86112,-14.037967681884766
1732931160.13316,86496,-13.658478736877441
1732931175.0010839,87168,-13.488017082214355
1732931177.1891584,87264,-13.232803344726562
1732931179.3670692,87360,-13.193676948547363
1732931181.508248,87456,-13.331527709960938
1732931185.7727787,87648,-11.775979042053223
1732931191.8054948,87936,-11.24066162109375
1732931193.7579422,88032,-11.041458129882812
1732931195.7932029,88128,-11.11575984954834
1732931201.5081577,88416,-11.467262268066406
1732931203.3848827,88512,-11.316559791564941
1732931205.282735,88608,-11.310911178588867
1732931207.1861901,88704,-11.298417091369629
1732931223.0839052,89472,-11.366002082824707
1732931225.0952063,89568,-11.132131576538086
1732931231.2511766,89856,-12.337043762207031
1732931244.7912927,90528,-12.13793659210205
1732931250.8862062,90816,-12.97667121887207
1732931267.5218246,91584,-12.49563980102539
